SYMBOL,2D 1,2D 2,2D 3,2D 4,2D 5,3D 1,3D 2,3D 3,3D 4,3D 5,InVivo 1,InVivo 2,InVivo 3,InVivo 4
A1BG,64,85,67,110,114,186,107,104,84,87,85,77,96,72
A1BG-AS1,80,97,101,139,119,154,109,113,102,102,58,51,58,58
A1CF,112,138,108,243,164,339,271,264,332,241,292,244,362,443
A2M,0,2,0,0,0,0,0,0,0,0,0,0,1,0
A2M-AS1,57,98,80,148,96,145,113,117,111,102,82,99,115,124
A2ML1,0,1,0,0,1,0,1,0,1,1,1,0,1,0
A2MP1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A3GALT2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A4GALT,490,731,548,996,692,831,689,632,603,578,228,311,415,416
A4GNT,0,0,0,0,0,0,0,0,0,0,0,0,2,0
AA06,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AAAS,4567,6528,5329,8801,6956,3607,3298,2975,3029,2812,2543,2662,3587,3576
AACS,3589,4702,4013,6465,5074,7948,6481,5995,5980,5818,4697,4463,5926,5677
AACSP1,3,7,6,3,5,5,7,1,3,3,0,2,0,4
AADAC,275,299,250,514,401,1168,768,744,757,735,1654,1857,2029,2154
AADACL2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AADACL3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AADACL4,0,0,1,0,0,0,0,0,0,0,0,0,0,1
AADAT,426,555,455,789,625,505,357,376,458,432,496,432,587,742
AAGAB,6723,9158,7729,13174,9717,5307,4655,4590,4482,3933,4026,3813,5179,5636
AAK1,1227,1854,1242,2328,1713,2236,1774,1708,2034,1844,1795,1436,1899,2114
AAMDC,222,403,272,437,351,538,451,397,323,319,246,208,299,298
AAMP,4378,6272,5184,8301,6733,4689,3844,3577,3643,3575,2976,2854,3754,4029
AANAT,4,2,7,10,13,8,8,6,6,7,0,6,6,6
AAR2,2512,3375,2892,4665,3626,2798,2362,2291,2288,2208,1859,1697,2544,2456
AARD,1,6,2,6,4,1,0,0,1,2,0,0,1,2
