SYMBOL,2D 1,2D 2,2D 3,2D 4,2D 5,3D 1,3D 2,3D 3,3D 4,3D 5,InVivo 1,InVivo 2,InVivo 3,InVivo 4
A1BG,0.640673435,0.601761916,0.523094366,0.500329063,0.935882943,1.80594206,1.286591084,1.30805743,0.985474527,1.160952864,1.335069449,1.265149639,1.162501023,0.647335237
A1BG-AS1,0.954855642,0.787366385,1.101040447,0.829001048,0.996487475,1.53714405,1.312855413,1.425858338,1.260205177,1.386468789,0.79472856,0.683505228,0.453038389,0.344641989
A1CF,1.431378802,1.285574329,1.19589576,1.620290935,1.450915881,2.664130731,2.612256663,2.637196297,2.945296499,2.613586077,3.09848193,2.911849593,3.057479709,3.236009503
A2M-AS1,0.478299169,0.80180731,0.772107511,0.917450457,0.693845538,1.451553935,1.36399175,1.475277615,1.380155821,1.386468789,1.284103524,1.622141229,1.418576978,1.415392543
A4GALT,3.543333715,3.670597875,3.517778264,3.640595127,3.511086197,3.952057992,3.952480535,3.890935597,3.802753254,3.869874156,2.74351958,3.26015815,3.253677264,3.145701105
AAAS,6.759108439,6.825089966,6.7946707,6.779756534,6.835735827,6.06693943,6.208415629,6.122628313,6.127904678,6.149053304,6.21473621,6.352120457,6.359677712,6.243367041
AACS,6.411595063,6.351929685,6.385664891,6.334937464,6.380796945,7.206241183,7.182640652,7.13306296,7.108783586,7.197541506,7.099572467,7.097326189,7.083669128,6.909854842
AADAC,2.714016199,2.387688491,2.391783858,2.690738517,2.727744359,4.442054817,4.108682689,4.125702456,4.130010436,4.215668809,5.594599712,5.832903218,5.538231801,5.512563207
AADAT,3.342181182,3.274713137,3.25054313,3.305740914,3.364736464,3.236002466,3.007513465,3.144504825,3.407308351,3.451227367,3.859959099,3.732513316,3.752075236,3.977544145
AAGAB,7.316788497,7.313328942,7.330919191,7.361528692,7.317839056,6.623748782,6.705367979,6.747928676,6.692926564,6.632845012,6.877253225,6.87031388,6.889348094,6.899401355
